بی حال و سست	کسل
ملک واقع شده در تقاطع	نبش
ازشاهان ساسانی	قباد
آسوده شدن	فراغ
رمانی از فرانتس کافکا	محاکمه
جنگجوی مجاهد	غازی
مثل جای شلوغ و درهم ریخته	بازارشام
خشکی	بر
دسته ای از ایل قاجار	یوخاریباش
درخت کاج	ناژ
پر حرف	وراج
چاق	تلان
فریم عینک	قاب
لطیف و هموار	نسو
لطف	مرحمت
نسیم شمال شرقی	صبا
سلطان و پادشاه	اکل
باعث و علت	مسبب
پرده توری	شف
مرکز چک	پراگ
بند و طناب	رسن
کناره ها	جوانب
قیمتی و نفیس	گرانبها
از بازیکنان خارجی اسبق پرسپولیس	ساها
از احادیث نبوی	کسا
سروری و بزرگی	سیادت
دستور کار	برنامه
212	اریا
حجار	سنگتراش
بنده زر خرید	قن
زیاده گو و پرحرف	وراج
شهری در پاکستان	لاهور
خشنودی	رضای
فوق	بالا
خاکروبه	اشغال
رود مرز ایران و افغانستان	هریرود
ب ا ل ه	ابله
بازتاب و پژواک	انعکاس
قطع حیات	مرگ
از درجات نیروی دریایی	ناویار
شهری در مازندران	جویبار
نوعی پیراهن جلو بسته	تیشرت
خوار شدن	ذل
هوای متحرک	باد
شیر برنج	شیربا
ترس و بیم	واهمه
روش‌ها و راه‌ها	انحا
دسر خنک تابستانی	فالوده
پیشه و صنعت	هنر
پرستش کردن	تعبد
زکات روزه	فطریه
از کشورهای آفریقایی	توگو
الفبای آبادانی	اب
سدی در استان خراسان رضوی	دهنقلعه
بردباری	وقر
واجب و لازم	ضروری
تابلویی از پل کله	مرگواتش
از ادیان الهی	اسلام
morning	صبح
خرسند و راضی	قانع
اِکلیل کوهی	رومارن
وسیله‌ اندازه ‌گیری دما	دماسنج
واحد پول ژاپن	ین
matter	ماده
تباه کننده	مفسد
شاعر مسافر	رهی
از فیلم‌های هیچکاک	ربکا
نان شب مانده	بیات
شکستن	کسر
خمیدگی	کجی
جنگل کوچک	بیشه
دشواری در کار	گیر
اثر الکساندر دومای پدر	قضیهپول
سرخط خبر	تیتر
گناه و بزه	جرم
تباهی و فنا	نیستی
چه وقت؟	کی
از آثار تاریخی ارومیه	گویتپه
خلاصه گویی	ایجاز
شب را در جایی به سر بردن	اباته
بالانس	تعادل
شکست ورزشی	باخت
لابستر	شاهمیگو
با قصد و نیت	عمدا
ناله	شیون
وسیله وزن کردن اجسام	ترازو
از حشرات	خرمگس
مارکی بر خودرو	زانتیا
سپاس شیرین	شکر
دیدنی از رژه	سان
فرار کردن	هرب
نویسنده انگلیسی اثر گنج خطرناک	پریستلی
پنهان کردن	استخفا
بی‌فایده و بی‌مصرف	بیکاره
ضرباهنگ	ریتم
تنها و بی مانند	اوحد
فریاد و صدای بلند	بانگ
فروتن و افتاده	متواضع
فیلمی از حسین قناعت	تپلیومن
سرخود و بی بند و بار	ول
نمادین	سمبولیک
بینی	مشام
شعری از نیما یوشیج	ماخاولا
مركز غیب گویی كهن	دلف
مجاز از بسيار سنگين	لنگردار
گرداگرد اماکن‌مقدس	حرم
فروشنده دوره گرد	چرچی
پرنده سیاه	کلاغ
یاغی	متمرد
ی و ل	ولی
لقب دیگر امام زمان(عج)	صالح
عنکبوت سمی	رتیلا
دو رنگ	ابلق
سخن گزاف	یاوه
سریالی از داریوش فرهنگ	راهشب
کشوری در آمریکای جنوبی	شیلی
میوه پاییزی	خرمالو
مهتابی	تراس
گمراه	ضال
پرتابه ورزشی	دیسک
شاعره فقید معاصر ایرانی	اعتصامی
خدایی	الهی
از وسایل ورزش‌رزمى	نانچیکو
ستاره سهیل	برک
ویزا	روادید
کارگردان آمریکایی بن هور	وایلر
ضربه ناگهانی	شوک
پیشرو گله	نهاز
آلت‌ موسیقی	ساز
Red	سرخ
میانه	معتدل
تجهیز شده	مجهز
شبه جزیره اروپا	ایبری
مقابل سخت نگرفتن	مساهله
یوزپلنگ	نمر
زبانی	لفظی
از کوه‌های گرگان	شاهکوه
درخت انداز	ربت
آلودگی	وشن
ضمیر داخل	تو
از میوه های گرمسیری	انبه
پادشاه زنبورها	یعسوب
پیکار	جنگ
corridor	راهرو
سزاوار و محترم	شایسته
اصطلاح مخابراتی	پالس
شک و تردید	ریب
خزنده گزنده	مار
اجبار و الزام	وادار
سطح پوست	بشره
مسلط	جبار
از ارتفاعات کرمانشاه	شاهو
رژیم گیاه خواری	وگان
single	تک
کسوف	خ ور شی دگ رف تگ ی
قطعه‌ای در چرخ‌خیاطی	ماکو
نیرنگ و حیله	ترعه
ماده آلي نيتروژن دار	الکالویید
از مناطق جنگی جنوب کشور	فاو
مهر و موم شده	ممهور
با هم یکی شده	متفق
عبادت ماه رمضان	روزه
چ ی	چی
دور افتاده از وطن	غریب
گرو گذاری	رهن
نوعی بست	زیپ
تیر انداختن	رمی
آشکار شدن راز	فاش
نامی دخترانه	تینا
بیماری کهنه	مزمن
برهنه	ورت
عقب افتادن	دیرکرد
درخشان	زهرا
ناسپاسی و الحاد	کفر
جانور کیسه دار درختی استرالیا	کوالا
جرقه آتش	اخگر
اقرار کننده	معترف
صندوق جلوی خودرو	داشبورد
حرکت آب دریا	موج
شهرآذربایجان غربی	سردشت
مدد رسانی	یاررسی
مرکز اتم	هسته
راه میانبر	ره
نی زدن	زمر
نرسیده	نارس
دما و گرما	حرارت
گردنده	دوار
پارسایی	پرهیزکاری
از پرتوهای اتمی	گاما
بسیار بخشنده	وهاب
هیکل و جثه	پیکر
بخشی از کرج	گلشهر
انسان و آدمی	شخص
آهوی آفریقایی	ایمپالا
دولتی یا قدرتی که به زور جایی را تصرف کند	اشغالگر
حصار و دژ	قلعه
9	هد
کار و کوشش بسیار	فعالیت
بالا و فوق	راس
زشت شمردن	تقبیح
بازیگر سریال پس از باران	مرجانمحتشم
شادمان شدن	ارن
دستمزد و کارانه	حقوق
حدیث معروف نبوی	کسا
مرد عرب	رجل
صندلی معلولین	ویلچر
ویران کننده	هادم
فقیر و ندار	کمبضاعت
ثروت و دارایی	مال
سازنده و صانع	افریننده
شهد شیرین	شیره
نگهبان جنگل	جنگلبان
شجاع	دلیر
گرانبها	نفیس
عملکرد و بازده	کارکرد
شهري در استان سمنان	بیارجمند
دلاک	کیسهکش
پاک‌تر	ازکی
کاغذی که به روی آن چیز می نویسند	نفج
قمر سیاره مشتری	لدا
شهرت خسرو اول پادشاه ساسانی	نوشیروان
لقب رستم در شاهنامه	تهمتن
آگاهی و بیداری	انتباه
بزرگترین بنای خشت و گلی جهان	ارگبم
درندگان	سباع
اقیانوس کبیر	ارام
شهرخراسان رضوی	کاشمر
فوتبال آمریکایی	راگبی
جانوری از راسته گوشتخواران شبیه سمور به اندازه گربه	موسوره
از قبيله هاي سرخپوست	شاین
حلزون	لیسک
ام البشر	حوا
فیلمی به کارگردانی داریوش فرهنگ	تکیهبرباد
57	نوا
جمع زنجیر	اغلال
نوار ضبط صوت	کاست
کلیسای شهر پاریس	نوتردام
از اعیاد اسلامی	غدیر
217	ریز
واحد پول السالوادور	کولون
Plain	دشت
جمع آوری محصول	درو
رنج و زحمت	لگ
سریالی از حمید لبخنده	بامنبمان
گرماسنج	ترمومتر
داستان عاشقانه	رمانس
کشیدنی بیمار	درد
مستمری	راتب
نفرت دارنده	متنفر
خنده از روی‌تمسخر	ریشخند
ن ا م ی ه	همیان
شهر تفریحی ایتالیا	ریویرا
دلپذیر و خوشایند	مطبوع
زیر خاک پنهان شده	دس
نوعی مسابقه دو استقامت	ماراتن
یکی از آثار عطار نیشابوری	نزههالحجاب
کمیاب و بی همتا	نادر
پرتابه	موشک
شهری در استان‌ کرمان	راور
فیلمی از ایوان‌ ریتمن	جونیور
رئیس جمهور مقتول آمریکا	جانکندی
ناپاک	نجس
از وسایل حمام	لیف
نافرمانی و لجاجت	سرکشی
ثروتمند شدن	تمول
معاون دادستان	دادیار
درون چیزی	لا
ناتوان	علیل
portrayal	تجسم
موج ها	امواج
نام نویسى	ثبتنام
ورزش جسم و فکر	یوگا
درخت جهنمی	زقوم
ریاضی قدیم	حساب
در هم فشرده	مچاله
340	مقر
زن پادشاه	هکلم
کشتی های جنگی	ناوگان
حیوان علف خوار	چرنده
35	لباب
مورد تمسخر عده‌ای	مچل
نیرو	قدرت
گندمگون	سمیرا
دومین شهر پرجمعیت کشور سوییس	ژنو
بی‌نظیر	بیتا
از آثار تاريخي ايتاليا	برجپیزا
نوعی‌ صندلی	تاشو
صدای بلند	رسا
خوب نیست	بد
هرج و مرج	اشوب
پایه ها	ارکان
گذشتن از حد خود	تخطی
رمان هانری شاریر	بانکو
از بازیگران سریال معمای شاه	سعیدداخ
ازگیل	نلکه
نوعی سکه طلا متعلق به قرن پانزدهم میلادی	اشرفی
نجیب	اصیل
چراغدان	قندیل
بیدار مانده	ساهر
عرق این گیاه برای شستشوی کلیه مفید است	خارشتر
بد و زشت	ناپسند
همیشه و جاوید	ابد
جایگزین کبریت	فندک
آموخته لقمان	ادب
یار خراج!	باج
نام قدیم قندهار	نادراباد
کدوی داستانی!	قلقلی
قطعی	اکید
مخالف خوبتر	بدتر
از رودهای شرقی فلات ایران	هیرمند
هویدا	واضح
از اعمال حیاتی	تنفس
معادل فارسی سیلندر	استوانک
جم وارونه	مج
زدنی در بازی	جر
رسوم	اداب
منفرد	تنها
جنگ نواز خسرو پرویز	رامتین
تجزیه و تحلیل	انالیز
اقرب و ادنی	نزدیکتر
فرزند زاده	نوه
از بازیگران خانم نهنگ عنبر۲	مهوشوقاری
پو بصورت وارونه	وپ
خار سوزاندنی 	بته
زهتاب	رودگر
دارای زن و فرزند	عیالوار
آهسته خودمانی	اسه
درختچه آپارتمانی	یوکا
شاهنشاهی	امپریال
از اعداد دو رقمی	یازده
بلیتی که برای یک مسیر رفت یا برگشت باشد	یکسره
ناشایست	ناپسندیده
کاشی لعاب دار	سرامیک
پایین لباس	دامن
شهری در گلستان	گنبدکاووس
پرنده قمری	یاکریم
منحنی گرافیکی	نمودار
میوه رسیده	نضیج
مرغ سلیمان	بدک
دور از گناه	بری
شهر بندری فرانسه	لوهاور
لباس‌ها را صاف می‌کند	اتو
واحد تزریقات	سیسی
پناه دهنده	مجیر
نفس سوزناک	اه
کنایه از بسیار سریع	رعداسا
جمع لسان	السنه
شرکت خودروسازی و صنایع سنگین سوئدی	اسکانیا
بسیار دروغگو	بشاک
تپش قلب	ضربان
از میوه‌های تابستانی	شفتالو
During	طی
اجرا کردن	ایفا
از پرندگان	بلدرچین
پرتاب گلوله	شلیک
شب زنده داری	مساهره
ناچار و ناگزیر	لابد
به خدمت بزرگی رسیدن	شرفیابی
دین و مذهب	کیش
برس اسب	قشو
یک‌خوراک فرانسوی	راگو
روپوش زین	یون
گیره	پش
گذرگاه ها	معابر
ابر بی باران	سیق
عدد فرد یک رقمی	سه
نوکر	غلام
قاره پهناور	اسیا
از بیماری‌ها	الکلیسم
گیاهی از تیره پنیرکیان	ختمی
آماده و فراهم	مهیا
چرب زبانی	مداهنه
مانند و نظیر	مثل
پاک و پاکیزه	نقی
طعام زندانیان	رواه
پایتخت مالی	باماکو
منزوی	گوشهنشین
موش رایانه ای	موس
شمردن – از شهرهای استان فارس	رم
سوغات دلیجان	حلواشکری
پول زیرمیزی	رشوه
نوعی ترشی	لیته
کوه سیمرغ	قاف
اندک و حقیر	ناقابل
نوعی انگور	یاقوتی
ی ل	یل
نهر کوچک	جدول
مخلص و صمیمی	یکتادل
چالاک و باهوش	زرنگ
ویرایش مطلب	ادیت
راسته‌ای از پرندگان	غازسانان
مهربانی و شفقت	رافت
لباس	تنارا
عقوبت	نکال
غزال	وها
شیرینی سنتی ‌تبریز	نوقا
then	سپس
هم زمان	همعصر
لباس رسمی و متحدالشکل	اونیفرم
راننده اتومبیل	شوفر
سنگی شبیه یاقوت	کرکند
کشتن	قتل
همکار صندلی	میز
گلبانگ نماز	اذان
رو دست خوردن	رکب
درس نگارشی	انشا
کبد	جگر
فیلمی از علیرضا داوود نژاد	مرهم
از نیروهای نظامی	هوایی
عاقبت همه کاره	هیچکاره
نشانه فعل ماضی	می
لیست غذا	منو
آن که مرده و مالی از او باقی مانده باشد	مورث
کتاب مذهبی زرتشتیان	اوستا
سخت، قوی	شدید
راسته‌ای از جانوران	جوندگان
در شات در فیلم سینمایی	نما
پدر آذری	اتا
بیماری تنگی نفس	اسم
نفس غنیمتی	دم
کار منظم و مکرر	روتین
ویتامین نور خورشید	دی
پرنعمت و پرحاصل	بابرکت
ستون کشتی	دکل
پرده دری	هتاکی
مکان اجاره ای	ماجر
وسنی	هوو
سر و صدا	قال
تاوان و جریمه	غرامت
زالزالک	کیالک
نوعی یقه	ارو
محل کسب	ناندانی
جاودانگی	ابدیت
در حال نشاط و هیجان	دنان
پیشرو لشکر و قافله	چاوش
اسب تندرو	تگاور
ترسو	جبون
زیانکار	خاسر
سلاحدار	مسلح
قورت دادن غذا	بلع
دوست مخلص	بیریا
علم و دانش	فرهنگ
حالت لرزان موبایل	ویبره
از مشاغل دریایی	ماهیگیری
بیماری مسری و عفونی	وبا
ترک خفیف	مو
بیماری سیاهرگ ها	واریس
bitter	تلخ
دل انگیز	جالب
خدای خورشید مصریان قدیم	امون
مخالف	ضد
ماهر در اسب سواری	سوارکار
نوعی ساز	دهل
ابزاری جهت کوبیدن میخ	چکش
سینمای آمریکا	هالیوود
برتری	مزیت
قنات	کاریز
اصل هر چیز	ام
ابدی و همیشگی	جاودانی
قایق و بلم	لتکا
رفیق	همراه
شهد و عسل	مزج
بسیار شوخی کننده	هزال
نوعي واليبال	ساحلی
زندانی	حصاری
الکل چوب	متانول
مرگا مرگی ستور	یوت
همسر رستم	تهمینه
ماه پبروزی انقلاب	بهمن
قسمتی از جمله	فعل
گریختن	جستن
سخن یاوه	ژاژه
شهری در روسیه	کونگور
هواپیمای سریع	جت
کشوری در غرب آفریقا	غنا
نسب شناس	ناسب
قسمتی از گوش	نرمه
از اصول دین	معاد
کنايه از بسيار خنديدن و بي حال شدن	رودهبرشدن
سیاره زحل	کیوان
آرایش	زیب
رادار زیر دریایی	سونار
پیشوا و رهبر	مقتدا
سرگشته و حیران	مدهوش
برزن	کوی
شعر	ترانه
پوستین	وت
بالا کشیده و ترقی کرده	برکشیده
تمساح	کروکودیل
ناطق و خطیب	سخنران
حارس و نگهبان شب	شبگرد
fever	تب
همراهان شخص صاحب نام	موکب
خاندان پیامبر اسلام	الیاسین
دست نخورده 	بکر
حساب	شمار
قلیل	کم
سایز بزرگ	لارج
منتظر	چشمبهراه
از وسایل روشنایی	لامپ
زمان بی‌آغاز	ازل
طبیعت‌ها و سرشت‌ها	خلایق
پیکر و انسان	هیکل
Trick	لم
قشنگ	زیبا
کشوری در اروپا	مونتهنگرو
اثری از ارسکین کالدول	گرتا
اثری از گلناز مشفقی	ترنج
دندان ها	اسنان
دوست‌مخلص و بی‌ریا	یکرو
سخن راست نگوید	دروغگو
راغب	لیام
سرپرستی	ریاست
از میوه‌های فصل گرم	هلو
فيلمي با بازي اميرخان	رانگیلا
واژه نامه و فرهنگ	لغتنامه
کیف سفر	ساک
قبل از افاده می‌آید!	فیس
later	بعد
نجیب زاده قرون وسطی	شوالیه
مراقب و پاسدار	نگهبان
با آن آب را نکوبید!	هاون
عید کریسمس	نویل
بی‌تجربگی	ناشیگری
صنعت جهانگردی	توریسم
D	دی
کارگردان مجوعه نمایش خانگی شهرزاد	حسنفتحی
زدنی نارفیق	نارو
غذای ‌مریض	سوپ
هافبک سابق انگلیس	بکهام
چیزهای کمیاب	نوادر
آلت رگ زنی	نیشتر
از جانوران بی‌مهره	عنکبوت
سر حد و کناره	مرز
اثاث خانه	سپار
حلقه	چنبر
هنر گوش نواز	موسیقی
آنکه در امری اخلال کند	خرابکار
گاز مرداب	متان
هم عقیده	همرای
ابریشم تابیده	زه
چوب آتشزنه	پازند
520	سنتی
پزشک شهیر ایرانی دربار هارون الرشید	ابنماسویه
یک بیماری آفریقایی	آبولا
سلاح سرد قدیمی	قمه
ابزار و وسیله	الت
در ساحل بیابید	ماسه
برادر موسی(ع)	هارون
یک دوره مسابقه ورزشی	تورنمنت
گرانمایه و نفیس	فاخر
ناقوس	زنگ
پیل الکتریکی	باتری
سپر	جنه
جذام	اکله
شایع ترین بیماری پوستی	اکنه
از شهرهای لبنان	بعلبک
رشته‌کوهی در تبریز	سهند
سلمانی جدید	پیرایشگر
208	حر
هنوز فرنگی	یت
سبزی پلویی	والک
فیلمی از محمدحسین حقیقی	رازخنجر
پیشرفت	ترقی
ناتمام و ناقص	نیمهکاره
تکنوازی در موسیقی	سلو
نوعی سردرد	میگرن
sauce	رب
شهر رستم	زابل
خودبین	غد
قطعه شعری از فریدون مشیری	باددرقفس
مغناطیس	اهنربا
بلند و مرتفع	شامخ
what	چی
فیلمی از یدا... صمدی	دمرل
ظاهر کردن	ابراز
شادی و خوشی	نشاط
مخفف دختر	دخت
منطق علمی	متدولوژی
محرمانه	سری
ظالم	ستمگر
سلاح گوزن	شاخ
نقاشی	رنگامیزی
نوعی اجاق گاز	فر
علامت صفت‌ عالی	ترین
تحفه ها	هدایا
عاقل	دانا
دشواری و زحمت	سختی
پست و حقیر	دنی
استقامت و ایستادگی	پایداری
از غذاهای اقلید	اشکارده
دست را با آن می شویند	صابون
نامناسب	ناجور
از مهمان پذیرایی می‌کند	میزبان
یک غذای فرانسوی	الیگوت
نوعی روش تمرکز حواس	مدیتیشن
فوتبال نابينايان	گلبال
پشتیبان و حمایت‌کننده	حامی
کسی که زمان مرگش فرا رسیده	اجلبرگشته
شهری در آرژانتین	رساریو
نهاد و فطرت	سرشت
ابریشم	حریر
شرم و حیا	ازرم
موی پیچیده	مجعد
موقت	گذرا
خاتم و مُهر	نگین
تهیه و تدارک	امادگی
Stork	لکلک
ناآرامی و آشفتگی	تنش
نوبت و دفعه	وهله
کارگردان آواتار	جیمزکامرون
بلیغ تر	ابلغ
باعث تأسف و اندوه	اسفبار
کشته شدن	هلاکت
علف خوار	چرنده
دو شکل هم نظير در هندسه	همنهشت
تبهکار	شرور
تقویت کننده	مقوی
Instrument	ساز
بازار سرپوشیده	پاساژ
همراه خم	چم
دوباره بيمار شدن	نکس
نوعی شکنجه	چهارمیخ
احسنت	زه
خرگوش	ارنب
خالص و بی غش گردیدن	صراحت
پهلوان رویین تن یونانی	اشیل
زمستان عرب	شتا
پایتخت بحرین	منامه
لقب حضرت خدیجه(س)	امالمومنین
آشکار و پیدا	ویدا
کجاست؟	کو
ماده سرخ رنگ خون	هموگلوبین
فیلمی از محمدرضا اعلامی	انسویاینه
جنگجو و مبارز	رزمجو
گردن نهادن	تسلیم
کیفی درهم	یفکی
از ورزش‌ها	وزنهبرداری
شوهر خواهر	یزنه
متفکر	فکور
یهر	لجباز
محل نگهداری لباس	کمد
از شهرهای مازندران	نکا
معماری درون‌گرایی	روکوکو
ترک کردن	پشتپازدن
خاک صنعتی	رس
پرده	ستر
یکی از میقاتهای حج	قرنالمنازل
اثري از لوئيجي پيراندلو	انتقامسگ
یک بیماری آفریقایی	ابولا
شهری در کرمان	کهنوج
رده و رسته	صف
نوعی شیرینی خشک	گردویی
تن پوش	لباس
محصول چغندر	قند
دسته سیاسی	حزب
سرانجام و عاقبت	اخرسر
کنار رود	شاطی
پند دهنده	واعظ
از نژادهای اروپایی	اسلاو
آلبوم محمد اصفهانی	حسرت
پوسته	غشا
خمیازه	هاک
مقابل پرداخت	دریافت
باطل کردن	نسخ
تکه دارنده لباس	جامهدار
هر چه باید بشود می شود	باداباد
یکی‌از آلات موسیقی	مزمار
بهره برداری غیراخلاقی	سواستفاده
می خزد و گاهی می گزد!	مار
عدد دو رقمی	شصت
شمشیر	تیغ
آغاز	بدو
قلم نی	ساسر
امید و چشمداشت	ارزو
کمک بینایی	عینک
پوشیده و مخفی	نهفته
امپراطور دیوانه روم باستان	نرون
قنداق نوزاد	اشتک
دعای زیر لب	ورد
بازیگر فیلم 13ارواح	منل
اسب سفید	چرمه
بلندترین آبشار جهان	انجل
از وسایل نجاری	اسکنه
دستبند زنانه	یشنماز
464	دست
مرد خمیده	ادن
نوعی نقش قالی	هندسی
یکدندگی	لجاجت
سرپیچی کردن	استنکاف
جهانگشای لنگ	تیمور
گل سرخ	رز
شهر باغ فین	کاشان
پول قلدری	باجسبیل
بخشنده و جوانمرد	راد
پایتخت دوم سلسله زندیان	کرمان
طلب فتوی کردن	استفتا
هیاهوی مردم در شادی	هلهله
سرشت و طینت	فطرت
نقش‌ونگاری که با گلابتون روی لباس می‌دوزند.	شمسه
بزرگ و ستبر	کلان
نیکی‌ها و اعمال خیر	مبرات
راه و روش	طریق
trap	دام
سنگی ‌گرانبها	لعل
نوعی قرارداد در بازارهای مالی	اتی
مباهات و غرور	فخر
فیلسوف	حکیم
دودل	مردد
جواب داده	مجاب
خنده‌رو	بسیم
بی‌سروپا	ولگرد
از سوره‌های قرآن	صافات
ادامه داشتن	ردام
آوازه	شهرت
بسیار سخن چین	غماز
نورتاب	اباژور
بدگمان	سیاهدل
پیاله	کاسه
فرار و شکست خوردن در جنگ	هزیمت
از بیماری ها	ابله
فضای سرپوشیده در مدخل عمارت	سرسرا
ناخوش	مریض
تکیه گاه	مسند
قومی فارسی زبان	تات
درک و شعور	فهم
هم‌بازی هاردی	لورل
زیرک بودن	عیاری
دهان کجی	یی
نمد گوسفندی	لکین
خبرنگار	مخبر
ی ن ب ی	بینی
سبکی در موسیقی	رپ
استان شمالی	گیلان
دانه های ریز پوست	جوش
در میان	واسط
تونل جاده شمال	کندوان
دفعه و مرتبه	مر
فاقد مو	طاس
جهانی	بینالمللی
علاج کردن	مراس
اثري از سيدمهدي شجاعي	وقتیاوبیاید
پیشانی	جبین
اصفهان قدیم	جی
پیچ خورده	تابدار
اثری از ماکسیم گورکی	همسفرمن
سرزمین افراسیاب	توران
اوراق بهادار مشارکتی	سهام
thats mean	یعنی
تکبر کردن	بطر
جسارت	جرات
خارپشت	زافه
کوهی در خلخال	اقداغ
آبگیر	ژی
تتوی بدن	خالکوبی
آواره و سرگردان	دربهدر
تاکتیک	راهکار
خوشحال و مسرور	شادان
دارای اصل و نسب	والاتبار
حرف نازی‌ها	اس
مثل و مانند	تا
تیر پیکاندار	ناوک
پایتخت کشور تبت	لهاسا
گیاه حصیربافی	لخ
افشای راز	لو
زبانه آتش	الاو
سال 366 روزی	کبیسه
از آن قند به دست آید	چغندر
دادخواهی	دعوی
استارت قدیمی ماشین	هندل
یکی از دو جنس	نر
پیروان یک پیامبر	امت
بیماری جذام	اکله
شمارشگر	حاسب
نام سابق شهر اراک	سلطاناباد
قوم مارپرست هند	ناگا
از زبان های برنامه نویسی	جاوا
آشنایی	معارفه
باتجربه و کارآزموده	مجرب
تهی و خالی	رت
راه تغذیه جنین 	ناف
پس ندادنی خسیس!	نم
بیان کردن	ابراز
آمادگی زیستی	رسش
ابزار جنگ	سلاح
گیاهی زهرناک	تاتوره
تأدیب	ادبکردن
جن زده	شبزق
ل د و د	دودل
جنبیدن	وول
فیلمی با بازی حامد بهداد	دلخون
سفیدی آخر شب	فجر
از بازیگران سریال هوش سیاه	کیکاووسیاکیده
تاریخ منظوم سرودهٔ حمدالله مستوفی	ظفرنامه
وعی قرارداد معاوضه ای	سواپ
یکی از اهمیت‌های شب قدر	بخششگناهان
خدای قدرت یونان باستان	هرکول
lucre	ربا
از آهنگ‌های موسیقی‌قدیم	راهوی
راست نیست	چپ
پوشیده گویی	ابهام
مخلوقات	انام
متوسل شونده	رواور
بداقبالی	نیامد
شهری در استان‌کرمان	بردسیر
یقین و اعتقاد	باور
فتح خرمشهر در این عملیات انجام شد	بیتالمقدس
طبل بزرگ	کوس
خوشحالی	شعف
garden	باغ
از شیرینی‌های معروف اصفهانی	پولکی
جوهر قلیا	پتاس
از نام‌های بانوان	راحله
بزرگ	خواجه
کتابی از لرد بایرون نویسنده انگلیسی	لارا
کنایه از کلام صریح و بی پرده	پوستکنده
لایه جوی	ازن
وحشت آور	هراسناک
نوعی درز در لباس	ساسون
لوطی محله	داشمشدی
پاکیزه	کیارنگ
رئیس تشکیلات ساسانیان	هزاربد
گنجه لباس	کمد
خوشی و خرمی	نزهت
غریزی	ذاتی
الفت دادن	تانیس
لشکر و سپاه	قشون
آبادی و روستا	رستاق
مورد علاقه کودکان	بازی
مایع دباغی	اش
اقوام و وابستگان	متعلقان
پر کردن	اکندن
بلور	کریستال
پیامبر جانشین حضرت موسی (ع)	یوشع
نابود کننده	ویرانگر
داروی مخدر و زیان آور	دتا
ظرف شیشه ای بزرگ سرکه	کپ
کاغذ دان اداری	کازیه
دریاچه روسیه	لادوگا
قرآن‌خوان	قاری
به همراه ماهی از غذاهای شب عید نوروز است	سبزیپلو
آذرخش	صاعقه
پارچه مشبک	تور
ریسمان ضخیم	طناب
ضروری و لازم	وایا
بی مو	تاس
مورد نظر و توجه	معطوف
خردمندانه	عاقلانه
رشوه دادن	ارشا
کمتر و اندک	اقل
شیپور بزرگ	کرنا
آدرس	نشانی
پلوی آبکش نشده	کته
بی‌حرکت	ساکن
اثری از آرتور شنیتسلر	رومازاد
11	ثریا
پوشاك گشاد بي آستين	لنش
پایتخت ترکمنستان	عشقاباد
آدم‌کشی سیاسی	ترور
واحد اندازه گیری مایعات	لیتر
الک	سرند
توده ریگ	نقا
پرنده شکاری	قرقی
شکوه و بزرگی	هیبت
یک خودمانی	یه
در حال نفس زدن	نفسزنان
بازیگر	هنرپیشه
هواکش بالای اجاق گاز	هود
از گیاهان دارویی	شیرینبیان
سلول	یاخته
محبوب	دلبر
سرو کوهی	اورس
اتهام خورده	متهم
اثری از یوهانا اشپیری	هایدی
رتبه ای در کاراته	دان
سقف خانه 	بام
قند سفید	پانیذ
floor	کفاتاق
سرزنش کننده	نکوهنده
داستان بلند خیالی	رمان
منقار كوتاه !	نک
از بازیگران سریال جراحت	یاسرجعفری
بالاپوش خانم‌ها	مانتو
آدمی و بشر	انسان
لاي چيزي	جوف
سلامتی و تندرستی	صحت
خداحافظی	وداع
قابله	ماما
خوب	نیک
با کلید باز می شود	قفل
دادگری	عدل
اثری از لئوناردو شاشا	روزجغد
حلال لاک ناخن	استن
نجار	درودگر
شهر توت	کن
هجوم	حمله
دشمنی	کینه
سمبل اردیبهشت	گاونر
دزدی کامپیوتری	هک
پیروز شدن	بردن
پیچ تنظیم صدا	ولوم
جزيره ايتاليا	ساردنی
فانی	میرا
سختی و صلابت	شدت
عالم مادی	ناسوت
خطایی در تنیس	نت
از جزاير اندونزي	مولوکاو
گرمسیر	قشلاق
شهری در شهرستان کاوینگتون ایالت آلابامای آمریکت	اپ
چارپایان باربر	دواب
چراغ دریایی	فانوس
بزرگوار	ماجد
شاعر نیشابوری	خیام
مطلع و آگاه	بااطلاع
فیلم مسعود آب پرور	قتلانلاین
تاوان و عوض	غرامت
رایج شدن	تداول
نوعی پارچه‌ لطیف	ململ
ارسی دوزی	کفاشی
گناه و جرم	بزه
پیرامون	دورادور
موزه معروف شهر لندن	تیتمدرن
محل تقاطع دو دیوار	وابند
مرید و مخلص	ارادتمند
از چین‌خوردگی‌های زمین	ناودیس
پادزهر، نوشدارو	زامهران
گیاه خوشبو	اسپرغم
شاعر معروف ترک که مثنوی غریب نامه او شهرت دارد	عاشقپاشا
بیرون	دیا
اعتنا	توجه
خراب و منهدم‌شده	ویران
دو رنگی	زرق
ماهر	وارد
بیرون دهان	کپ
فیلمی از ساندرو دیویس	گودالها
فراورده زنبور	عسل
بافت دور دندان	لثه
اهل فلسفه	فیلسوف
گندم	اگ
بروشور	دفترک
بيابان	بیدا
اندوخته	پسانداز
واحد سنجش مقاومت الکتریکی	اهم
جهت و دلیل	سبب
شوخ	سعتری
کندن میوه و گل	چیدن
هضم کننده	هاضم
خورشید	افتاب
